"","Engine.Capacity","Fuel.Type","Co2"
"768",1968,"Diesel",122
"769",1968,"Diesel",123
"770",1968,"Diesel",124
"771",1968,"Diesel",128
"772",1968,"Diesel",129
"773",1968,"Diesel",116
"774",1968,"Diesel",119
"775",1968,"Diesel",120
"776",1968,"Diesel",117
"777",1968,"Diesel",118
"778",1968,"Diesel",125
"779",1968,"Diesel",126
"780",1968,"Diesel",127
"781",1968,"Diesel",129
"782",1968,"Diesel",118
"783",1968,"Diesel",119
"784",1968,"Diesel",121
"785",1968,"Diesel",117
"786",1968,"Diesel",118
"787",1968,"Diesel",119
"788",1968,"Diesel",125
"789",1968,"Diesel",126
"790",1968,"Diesel",128
"791",1968,"Diesel",127
"792",1968,"Diesel",129
"793",1968,"Diesel",116
"794",1968,"Diesel",119
"795",1968,"Diesel",120
"796",1968,"Diesel",117
"797",1968,"Diesel",118
"798",1968,"Diesel",125
"799",1968,"Diesel",126
"800",1968,"Diesel",127
"801",1968,"Diesel",129
"802",1968,"Diesel",128
"803",1968,"Diesel",111
"804",1968,"Diesel",116
"805",1968,"Diesel",112
"806",1968,"Diesel",115
"807",1968,"Diesel",116
"808",1968,"Diesel",121
"809",1968,"Diesel",113
"810",1968,"Diesel",116
"811",1968,"Diesel",111
"812",1968,"Diesel",112
"813",1968,"Diesel",116
"814",1968,"Diesel",120
"815",1968,"Diesel",123
"816",2967,"Diesel",114
"817",2967,"Diesel",117
"818",2967,"Diesel",121
"819",2967,"Diesel",123
"820",2967,"Diesel",126
"821",2967,"Diesel",129
"822",1968,"Diesel",111
"823",1968,"Diesel",112
"824",1968,"Diesel",113
"825",1968,"Diesel",118
"826",1968,"Diesel",111
"827",1968,"Diesel",113
"828",1968,"Diesel",114
"829",1968,"Diesel",118
"830",1968,"Diesel",121
"831",2967,"Diesel",114
"832",2967,"Diesel",117
"833",2967,"Diesel",119
"834",2967,"Diesel",123
"835",2967,"Diesel",127
"836",1968,"Diesel",118
"837",1968,"Diesel",122
"838",1968,"Diesel",124
"839",1968,"Diesel",122
"840",1968,"Diesel",127
"841",1968,"Diesel",128
"842",2967,"Diesel",128
"843",1968,"Diesel",113
"844",1968,"Diesel",118
"845",1968,"Diesel",111
"846",1968,"Diesel",113
"847",1968,"Diesel",114
"848",1968,"Diesel",118
"849",1968,"Diesel",121
"850",1968,"Diesel",111
"851",1968,"Diesel",111
"852",2967,"Diesel",119
"853",2967,"Diesel",123
"854",2967,"Diesel",127
"855",1968,"Diesel",115
"856",1968,"Diesel",119
"857",1968,"Diesel",112
"858",1968,"Diesel",114
"859",1968,"Diesel",113
"860",1968,"Diesel",112
"861",1968,"Diesel",117
"862",1968,"Diesel",121
"863",1968,"Diesel",124
"864",2967,"Diesel",119
"865",2967,"Diesel",124
"866",2967,"Diesel",125
"867",1968,"Diesel",118
"868",1968,"Diesel",119
"869",1968,"Diesel",121
